iter	Passed	Remaining
0	3	316
1	5	285
2	8	261
3	10	245
4	13	250
5	16	250
6	18	252
7	21	246
8	24	250
9	27	251
10	30	249
11	33	245
12	36	240
13	39	240
14	41	236
15	44	233
16	47	230
17	49	225
18	52	222
19	55	223
20	58	219
21	60	215
22	62	210
23	65	206
24	67	203
25	69	198
26	72	195
27	74	191
28	77	189
29	79	186
30	82	184
31	85	181
32	87	177
33	89	173
34	92	171
35	93	167
36	95	162
37	98	160
38	99	155
39	100	151
40	102	147
41	103	142
42	105	140
43	107	136
44	109	134
45	111	130
46	113	128
47	116	125
48	117	122
49	119	119
50	122	117
51	125	115
52	127	113
53	130	111
54	132	108
55	134	105
56	137	103
57	138	100
58	140	97
59	142	94
60	144	92
61	147	90
62	148	87
63	151	85
64	153	82
65	156	80
66	158	77
67	161	75
68	162	73
69	165	70
70	167	68
71	169	65
72	171	63
73	173	60
74	175	58
75	177	56
76	179	53
77	181	51
78	183	48
79	185	46
80	187	43
81	189	41
82	190	39
83	192	36
84	194	34
85	195	31
86	196	29
87	197	26
88	199	24
89	200	22
90	202	20
91	203	17
92	204	15
93	206	13
94	207	10
95	209	8
96	211	6
97	213	4
98	215	2
99	217	0
